User,Screen Name,Location,Profile Description,Profile Image,Following,Followers,Url,Date Created,Number of Retweets,Number of Likes,Source of Tweet,Tweet,Truncated Flag,Tweet Hashtags,Reply to Status,Quote Flag
Joe Chelladurai,joe_chelladurai,,#rstats,https://pbs.twimg.com/profile_images/1616532489228681217/ngyml-UI_normal.jpg,218,12,,2023-02-21 04:50:26+00:00,1,2,Twitter Web App,"A twist on a bar chart to depict a tight English Premier League season.

#rstats #epl #SportsVizSunday #Arsenal… https://t.co/5ivO7IQoKn",True,"[{'text': 'rstats', 'indices': [73, 80]}, {'text': 'epl', 'indices': [81, 85]}, {'text': 'SportsVizSunday', 'indices': [86, 102]}, {'text': 'Arsenal', 'indices': [103, 111]}]",,False
CJ Mayes,_CJMayes,"London, UK",https://t.co/nJKtO16SZH | Tableau Visionary & Ambassador | #SportsVizSunday | @JLL,https://pbs.twimg.com/profile_images/1387386576284569602/iewnImUb_normal.jpg,1896,4191,https://t.co/ymums8NRjv,2023-02-20 11:42:23+00:00,1,41,Twitter Web App,"How to create pass networks using Tableau &amp; Alteryx #SportsVizSunday

https://t.co/37V4waXK0T",False,"[{'text': 'SportsVizSunday', 'indices': [56, 72]}]",,False
Dzifa,datadzif,always cheesin😁,"tableau social ambassador • certified gif enthusiast •💖data, bubble tea, memes, & bad reality TV🤩 • tweets about tableau + data viz + random • she/her 🇬🇭✨",https://pbs.twimg.com/profile_images/1537977305049337857/FR9_-zun_normal.jpg,2182,2419,https://t.co/7yTTqgD4Em,2023-02-20 01:12:31+00:00,5,0,Twitter for iPhone,"RT @_CJMayes: Set your Sunday up for success - check out this weeks #SportsVizSunday 🏈⚽️🏀🎾 

https://t.co/nB9vRn4pFc",False,"[{'text': 'SportsVizSunday', 'indices': [68, 84]}]",,False
Samuel Epley,EpleySamuel,"Hopkins, MN","Sports Fanatic, Husband & Hockey Dad | @Tableau Certified Professional | @TableauPublic Featured Author | 4-time #VOTD | Trailhead Double-Star Ranger",https://pbs.twimg.com/profile_images/1627901277739835393/TkF0iVfD_normal.jpg,1011,1216,https://t.co/NeDiBUdZHm,2023-02-20 00:31:25+00:00,0,2,Twitter for iPhone,Congratulations to everyone featured in this weeks #SportsVizSunday Roundup! #DataFam https://t.co/i5JsTDqYHr,False,"[{'text': 'SportsVizSunday', 'indices': [51, 67]}, {'text': 'DataFam', 'indices': [77, 85]}]",,True
Matt Skinner,Skinmatt28,,"Probably the biggest American domestic soccer fan you know. A true sicko for USL/ MLS/ USMNT. Girl dad.
All views are my own.",https://pbs.twimg.com/profile_images/1610795260514279424/ff19rLNX_normal.jpg,731,214,,2023-02-19 22:36:23+00:00,3,0,Twitter for Android,"RT @boknowsdata: I remixed this graphic in @tableau to add:
-#MLS (3rd highest avg. attendance!) 
-context re: capacity
-interactivity (htt…",False,"[{'text': 'MLS', 'indices': [61, 65]}]",,True
DataVizMich,mich_data,,"Data Viz in Sport
Instagram - https://t.co/uovzhAO0jt
Github - https://t.co/4N2JKGxxxv",https://pbs.twimg.com/profile_images/1426456929111576580/03tnVrCs_normal.jpg,109,81,,2023-02-19 22:08:34+00:00,5,0,Twitter Web App,"RT @_CJMayes: Set your Sunday up for success - check out this weeks #SportsVizSunday 🏈⚽️🏀🎾 

https://t.co/nB9vRn4pFc",False,"[{'text': 'SportsVizSunday', 'indices': [68, 84]}]",,False
Mo Wootten,mo_wootten,"London, England",Senior Analyst in Sport + #Tableau Public Ambassador 2022 + #SportsVizSunday + #T1D = me  |  1 x VOTD  |  Views are my own.,https://pbs.twimg.com/profile_images/1285647484681965568/cUYirJgz_normal.jpg,1159,765,,2023-02-19 21:51:54+00:00,3,0,Twitter for iPhone,"RT @boknowsdata: I remixed this graphic in @tableau to add:
-#MLS (3rd highest avg. attendance!) 
-context re: capacity
-interactivity (htt…",False,"[{'text': 'MLS', 'indices': [61, 65]}]",,True
Bo McCready,boknowsdata,"Austin, TX",I make #dataviz at . Tableau Public Ambassador. #VOTD x9. @UWMadEducation Ph.D. + @UWLaFollette MPA. Ex-@mmsdschools. @AustinFC ST holder. Views mine.,https://pbs.twimg.com/profile_images/1293900955700928512/Xk5-lD6r_normal.jpg,2786,4612,,2023-02-19 21:47:01+00:00,3,48,Twitter Web App,"I remixed this graphic in @tableau to add:
-#MLS (3rd highest avg. attendance!) 
-context re: capacity
-interactivi… https://t.co/gQ5feXRSsm",True,"[{'text': 'MLS', 'indices': [44, 48]}]",,True
Simon Rowe,mrroweuk,London,data storyteller and @tableau enthusiast | Tableau Desktop Certified Associate | 4 x #VOTD | @tonbridgeangels | Views are my own,https://pbs.twimg.com/profile_images/2363957398/image_normal.jpg,1699,1858,https://t.co/WrO1tFL0a5,2023-02-19 19:09:27+00:00,0,4,Twitter for iPhone,Close out the weekend with a read of the latest #sportsvizsunday round-up 👇🏻 https://t.co/V06tJhR1rL,False,"[{'text': 'sportsvizsunday', 'indices': [48, 64]}]",,True
Luigi Cicciari,SpotOn_DRTV,"Oceanside, CA",#DRTV Data-Driven Media | San Diego TUG Lead | #DataFam | #TableauNext 2023 | #VOTD | #LMU Alum | #AMDG | #TwinDad | ASD Dad | Scouting | Student Pilot,https://pbs.twimg.com/profile_images/1613580877329764353/OnuqqJko_normal.jpg,3430,2898,https://t.co/5liOGoZl1q,2023-02-19 18:24:47+00:00,5,0,Twitter for iPhone,"RT @_CJMayes: Set your Sunday up for success - check out this weeks #SportsVizSunday 🏈⚽️🏀🎾 

https://t.co/nB9vRn4pFc",False,"[{'text': 'SportsVizSunday', 'indices': [68, 84]}]",,False
Chimdi Nwosu,menscuriosa,BC Canada,Dataviz 😍 | 2 x Tableau Public Ambassador | 7 × #VOTD | 6 x Vizzies | https://t.co/H59ouL3fFW | VizSight Analytics Inc. 📈 | Co-lead @DuboisChallenge and @AnalyticsTug,https://pbs.twimg.com/profile_images/1447290504995958786/ASQSzfGh_normal.jpg,1429,3852,https://t.co/f3py2BpWkQ,2023-02-19 17:04:02+00:00,5,0,Twitter Web App,"RT @_CJMayes: Set your Sunday up for success - check out this weeks #SportsVizSunday 🏈⚽️🏀🎾 

https://t.co/nB9vRn4pFc",False,"[{'text': 'SportsVizSunday', 'indices': [68, 84]}]",,False
Mo Wootten,mo_wootten,"London, England",Senior Analyst in Sport + #Tableau Public Ambassador 2022 + #SportsVizSunday + #T1D = me  |  1 x VOTD  |  Views are my own.,https://pbs.twimg.com/profile_images/1285647484681965568/cUYirJgz_normal.jpg,1159,765,,2023-02-19 15:15:25+00:00,0,2,Twitter for iPhone,"While the sun’s practising being out, why don’t you grab a cup of tea and head outside to read this week’s… https://t.co/563QPIZAMY",True,[],,True
CJ Mayes,_CJMayes,"London, UK",https://t.co/nJKtO16SZH | Tableau Visionary & Ambassador | #SportsVizSunday | @JLL,https://pbs.twimg.com/profile_images/1387386576284569602/iewnImUb_normal.jpg,1896,4191,https://t.co/ymums8NRjv,2023-02-19 10:13:46+00:00,5,39,Twitter Web App,"Set your Sunday up for success - check out this weeks #SportsVizSunday 🏈⚽️🏀🎾 

https://t.co/nB9vRn4pFc",False,"[{'text': 'SportsVizSunday', 'indices': [54, 70]}]",,False
